Condition,Subject,Session,L1_RclP,L2_RclP,L3_RclP,L4_RclP,L5_RclP,L6_RclP,Int1_6,Int2_6,Int3_6,Int4_6,Int5_6,Intru_L6_Total,L1_ARC,L2_ARC,L3_ARC,L4_ARC,L5_ARC,L6_ARC
Not-Tested,207,2,,,,,,0.67,0,0,0,0,0,0,,,,,,0.32
Not-Tested,208,3,,,,,,0.80,0,0,0,0,0,0,,,,,,1.00
Not-Tested,209,4,,,,,,0.67,0,0,0,0,1,1,,,,,,0.55
Not-Tested,210,5,,,,,,0.40,6,2,1,1,1,11,,,,,,1.00
Not-Tested,211,6,,,,,,0.13,0,0,0,0,0,0,,,,,,0.00
Not-Tested,212,1,,,,,,0.73,0,0,0,0,0,0,,,,,,0.04
Not-Tested,213,2,,,,,,0.07,0,0,0,0,0,0,,,,,,0.00
Not-Tested,214,3,,,,,,0.20,0,2,0,0,0,2,,,,,,1.00
Not-Tested,215,4,,,,,,0.00,0,0,0,0,0,0,,,,,,0.00
Not-Tested,216,5,,,,,,0.87,0,0,0,0,0,0,,,,,,0.19
Not-Tested,217,6,,,,,,0.27,1,1,0,0,2,4,,,,,,1.00
Not-Tested,218,1,,,,,,0.33,0,0,0,0,2,2,,,,,,-1.00
Not-Tested,222,5,,,,,,0.47,0,0,0,0,1,1,,,,,,1.00
Not-Tested,223,6,,,,,,0.53,0,0,1,0,0,1,,,,,,0.27
Not-Tested,224,1,,,,,,0.67,0,0,0,0,0,0,,,,,,0.55
Not-Tested,225,2,,,,,,0.47,0,0,0,0,1,1,,,,,,0.30
Not-Tested,226,3,,,,,,0.67,0,0,0,0,0,0,,,,,,-0.05
Not-Tested,227,4,,,,,,0.20,0,1,0,0,1,2,,,,,,-2.00
Not-Tested,228,5,,,,,,0.13,2,1,1,2,3,9,,,,,,0.00
Not-Tested,229,6,,,,,,0.93,0,0,0,0,0,0,,,,,,0.44
Not-Tested,230,1,,,,,,0.73,0,0,0,0,0,0,,,,,,-0.10
Not-Tested,231,2,,,,,,0.93,0,0,0,0,0,0,,,,,,0.86
Not-Tested,234,5,,,,,,0.07,0,0,2,0,1,3,,,,,,0.00
Not-Tested,235,6,,,,,,0.07,0,1,0,0,0,1,,,,,,0.00
Not-Tested,236,1,,,,,,0.27,0,0,1,0,0,1,,,,,,-1.00
Not-Tested,237,2,,,,,,0.27,0,0,1,0,1,2,,,,,,-1.00
Not-Tested,238,2,,,,,,0.33,0,0,0,0,2,2,,,,,,-0.67
Not-Tested,239,3,,,,,,0.53,0,0,0,0,0,0,,,,,,0.64
Not-Tested,240,4,,,,,,0.13,1,1,3,3,5,13,,,,,,0.00
Not-Tested,241,5,,,,,,0.27,0,0,0,1,2,3,,,,,,-1.00
Not-Tested,242,6,,,,,,0.33,1,2,0,2,0,5,,,,,,-0.67
Not-Tested,243,2,,,,,,0.53,0,0,0,0,1,1,,,,,,0.11
Not-Tested,245,4,,,,,,0.73,0,0,0,0,0,0,,,,,,-0.06
Not-Tested,246,3,,,,,,0.87,0,0,0,0,0,0,,,,,,-0.27
Not-Tested,249,1,,,,,,0.13,1,0,0,0,0,1,,,,,,0.00
Not-Tested,251,3,,,,,,0.33,0,2,0,0,1,3,,,,,,0.17
Not-Tested,254,6,,,,,,0.87,0,0,0,0,1,1,,,,,,0.37
Not-Tested,257,3,,,,,,0.07,0,0,0,0,0,0,,,,,,0.00
