"","date","country","activity","year","flu_activity_mean"
"306","2003-03-09","New.Zealand",0,"2003",0
"307","2003-03-09","Norway",0,"2003",0
"308","2003-03-09","Paraguay",0,"2003",0
"309","2003-03-09","Peru",312,"2003",393.096153846154
"310","2003-03-09","Poland",0,"2003",0
"311","2003-03-09","Romania",824,"2003",630.173076923077
"312","2003-03-09","Russia",0,"2003",0
"313","2003-03-09","South.Africa",0,"2003",0
"314","2003-03-09","Spain",0,"2003",20.8269230769231
"315","2003-03-09","Sweden",0,"2003",0
"316","2003-03-09","Switzerland",0,"2003",23.5
"317","2003-03-09","Ukraine",0,"2003",0
"318","2003-03-09","United.States",0,"2003",831.365384615385
"319","2003-03-09","Uruguay",0,"2003",123.942307692308
"320","2003-03-16","Argentina",134,"2003",179.846153846154
"321","2003-03-16","Australia",0,"2003",0
"322","2003-03-16","Austria",0,"2003",195.730769230769
"323","2003-03-16","Belgium",0,"2003",68.9038461538462
"324","2003-03-16","Bolivia",541,"2003",433.903846153846
"325","2003-03-16","Brazil",213,"2003",238.192307692308
"326","2003-03-16","Bulgaria",0,"2003",0
"327","2003-03-16","Canada",0,"2003",899.692307692308
"328","2003-03-16","Chile",1,"2003",1.65384615384615
"329","2003-03-16","France",0,"2003",84.4230769230769
"330","2003-03-16","Germany",0,"2003",298.211538461538
"331","2003-03-16","Hungary",0,"2003",0
"332","2003-03-16","Japan",0,"2003",8.80769230769231
"333","2003-03-16","Mexico",0,"2003",254.480769230769
"334","2003-03-16","Netherlands",0,"2003",15.1153846153846
"335","2003-03-16","New.Zealand",0,"2003",0
"336","2003-03-16","Norway",0,"2003",0
"337","2003-03-16","Paraguay",0,"2003",0
"338","2003-03-16","Peru",350,"2003",393.096153846154
"339","2003-03-16","Poland",0,"2003",0
"340","2003-03-16","Romania",819,"2003",630.173076923077
"341","2003-03-16","Russia",0,"2003",0
"342","2003-03-16","South.Africa",0,"2003",0
"343","2003-03-16","Spain",0,"2003",20.8269230769231
"344","2003-03-16","Sweden",0,"2003",0
"345","2003-03-16","Switzerland",0,"2003",23.5
"346","2003-03-16","Ukraine",0,"2003",0
"347","2003-03-16","United.States",0,"2003",831.365384615385
"348","2003-03-16","Uruguay",105,"2003",123.942307692308
"349","2003-03-23","Argentina",153,"2003",179.846153846154
"350","2003-03-23","Australia",0,"2003",0
"351","2003-03-23","Austria",0,"2003",195.730769230769
"352","2003-03-23","Belgium",0,"2003",68.9038461538462
"353","2003-03-23","Bolivia",549,"2003",433.903846153846
"354","2003-03-23","Brazil",228,"2003",238.192307692308
"355","2003-03-23","Bulgaria",0,"2003",0
"356","2003-03-23","Canada",0,"2003",899.692307692308
"357","2003-03-23","Chile",1,"2003",1.65384615384615
"358","2003-03-23","France",0,"2003",84.4230769230769
"359","2003-03-23","Germany",0,"2003",298.211538461538
"360","2003-03-23","Hungary",0,"2003",0
"361","2003-03-23","Japan",0,"2003",8.80769230769231
"362","2003-03-23","Mexico",0,"2003",254.480769230769
"363","2003-03-23","Netherlands",0,"2003",15.1153846153846
"364","2003-03-23","New.Zealand",0,"2003",0
"365","2003-03-23","Norway",0,"2003",0
"366","2003-03-23","Paraguay",0,"2003",0
"367","2003-03-23","Peru",340,"2003",393.096153846154
